effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),0.517528063823429,0.15034878811450783,3.4421831417042887,113.44024896845521,8.089168253127961e-4,0.21967250777319774,0.8153836198736601
fixed,time_0_30,-0.03836993660318516,0.004766691450254604,-8.049595196923372,271.2254620193316,2.623778979892024e-14,-0.0477543554998848,-0.02898551770648553
fixed,time_post30,-3.4333298709069955e-4,1.3551748688446483e-4,-2.5334958239257155,275.4240111898395,0.011848052920035535,-6.101146734108302e-4,-7.655130077056894e-5
