effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),171.69870252499092,27.904978856633864,6.152977338098678,68.8756397171032,4.409725847895508e-8,116.02799965048888,227.36940539949296
fixed,Booklet_MinsSinceWake_filled,0.6098024067971779,0.06555953301903578,9.301506260273642,265.9856524941178,5.291004473773099e-18,0.48072074685393396,0.7388840667404218
