"r","power_05","power_0125"
0.1,0.261249893976889,0.118681998751777
0.15,0.510847418870745,0.303717354345898
0.2,0.759784586742557,0.565433563457316
0.25,0.91900104929298,0.804426507071624
0.3,0.982565288701156,0.941679222169349
0.35,0.997780782245123,0.989398499775015
0.4,0.999847156420821,0.9989282291872
0.45,0.999994902540992,0.999946060982843
0.5,0.999999928821274,0.999998828495564
