"f2","delta_R2","power_05","power_0125"
0.02,0.014,0.436672794485126,0.240715480487405
0.03,0.021,0.596779749413355,0.381733594453861
0.04,0.028,0.721091078763987,0.515509525744096
0.05,0.035,0.812349572372175,0.632419681747133
0.06,0.042,0.87662202527307,0.728713801407657
0.08,0.056,0.949563371869758,0.862029421560683
0.1,0.07,0.980567203036121,0.934841164621603
0.15,0.105,0.998512357472299,0.992112762331729
